job_name,N,N_approx,D,C,lr,gbsz,beta2,seed,iteration,train_samples,train_tokens,num_of_valid_seq,loss,loss_se
dense_130M_xm01_lr0.0005_gbsz32_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.0005,32,0.99,1234,152588.0,4882816.0,20000014336.0,204800.0,2.608215,0.0
dense_130M_xm01_lr0.0005_gbsz32_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.0005,32,0.99,1234,228882.0,7324224.0,30000021504.0,204800.0,2.579421,0.0
dense_130M_xm01_lr0.0005_gbsz32_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.0005,32,0.99,1234,45777.0,1464864.0,6000082944.0,204800.0,2.715563,0.0
dense_130M_xm01_lr0.0005_gbsz512_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.0005,512,0.99,1234,57221.0,29297152.0,120001134592.0,204800.0,2.530196,0.0
dense_130M_xm01_lr0.0005_gbsz512_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.0005,512,0.99,1234,95368.0,48828416.0,200001191936.0,204800.0,2.503974,0.0
dense_130M_xm01_lr0.0005_gbsz512_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.0005,512,0.99,1234,9537.0,4882944.0,20000538624.0,204800.0,2.693822,0.0
dense_130M_xm01_lr0.0005_gbsz512_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.0005,512,0.99,1234,143052.0,73242624.0,300001787904.0,204800.0,2.486511,0.0
dense_130M_xm01_lr0.0005_gbsz512_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.0005,512,0.99,1234,14306.0,7324672.0,30001856512.0,204800.0,2.640306,0.0
dense_130M_xm01_lr0.0005_gbsz512_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.0005,512,0.99,1234,23842.0,12207104.0,50000297984.0,204800.0,2.590262,0.0
dense_130M_xm01_lr0.0005_gbsz512_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.0005,512,0.99,1234,38147.0,19531264.0,80000057344.0,204800.0,2.554912,0.0
dense_130M_xm01_lr0.0005_gbsz64_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.0005,64,0.99,1234,457764.0,29296896.0,120000086016.0,204800.0,2.502391,0.0
dense_130M_xm01_lr0.0005_gbsz64_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.0005,64,0.99,1234,45777.0,2929728.0,12000165888.0,204800.0,2.653499,0.0
dense_130M_xm01_lr0.0005_gbsz64_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.0005,64,0.99,1234,76294.0,4882816.0,20000014336.0,204800.0,2.609606,0.0
dense_130M_xm01_lr0.0005_gbsz64_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.0005,64,0.99,1234,114441.0,7324224.0,30000021504.0,204800.0,2.579004,0.0
dense_130M_xm01_lr0.0005_gbsz64_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.0005,64,0.99,1234,190735.0,12207040.0,50000035840.0,204800.0,2.546016,0.0
dense_130M_xm01_lr0.0005_gbsz64_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.0005,64,0.99,1234,22889.0,1464896.0,6000214016.0,204800.0,2.72673,0.0
dense_130M_xm01_lr0.0005_gbsz64_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.0005,64,0.99,1234,305176.0,19531264.0,80000057344.0,204800.0,2.521,0.0
dense_130M_xm01_lr0.001_gbsz1024_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.001,1024,0.99,1234,28611.0,29297664.0,120003231744.0,204800.0,2.544435,0.0
dense_130M_xm01_lr0.001_gbsz1024_beta20.99_200B,124455168,130000000.0,200000000000.0,1.493462016e+20,0.001,1024,0.99,1234,47684.0,48828416.0,200001191936.0,204800.0,2.512635,0.0
dense_130M_xm01_lr0.001_gbsz1024_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.001,1024,0.99,1234,71526.0,73242624.0,300001787904.0,204800.0,2.492473,0.0
dense_130M_xm01_lr0.001_gbsz1024_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.001,1024,0.99,1234,7153.0,7324672.0,30001856512.0,204800.0,2.694236,0.0
dense_130M_xm01_lr0.001_gbsz1024_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.001,1024,0.99,1234,11921.0,12207104.0,50000297984.0,204800.0,2.622334,0.0
dense_130M_xm01_lr0.001_gbsz1024_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.001,1024,0.99,1234,19074.0,19531776.0,80002154496.0,204800.0,2.57629,0.0
dense_130M_xm01_lr0.001_gbsz128_beta20.99_120B,124455168,130000000.0,120000000000.0,8.960772096e+19,0.001,128,0.99,1234,228882.0,29296896.0,120000086016.0,204800.0,2.498765,0.0
dense_130M_xm01_lr0.001_gbsz128_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.001,128,0.99,1234,22889.0,2929792.0,12000428032.0,204800.0,2.656272,0.0
dense_130M_xm01_lr0.001_gbsz128_beta20.99_20B,124455168,130000000.0,20000000000.0,1.493462016e+19,0.001,128,0.99,1234,38147.0,4882816.0,20000014336.0,204800.0,2.610379,0.0
dense_130M_xm01_lr0.001_gbsz128_beta20.99_300B,124455168,130000000.0,300000000000.0,2.240193024e+20,0.001,128,0.99,1234,572205.0,73242240.0,300000215040.0,204800.0,2.466787,0.0
dense_130M_xm01_lr0.001_gbsz128_beta20.99_30B,124455168,130000000.0,30000000000.0,2.240193024e+19,0.001,128,0.99,1234,57221.0,7324288.0,30000283648.0,204800.0,2.578589,0.0
dense_130M_xm01_lr0.001_gbsz128_beta20.99_50B,124455168,130000000.0,50000000000.0,3.73365504e+19,0.001,128,0.99,1234,95368.0,12207104.0,50000297984.0,204800.0,2.544626,0.0
dense_130M_xm01_lr0.001_gbsz128_beta20.99_6B,124455168,130000000.0,6000000000.0,4.480386048e+18,0.001,128,0.99,1234,11445.0,1464960.0,6000476160.0,204800.0,2.733779,0.0
dense_130M_xm01_lr0.001_gbsz128_beta20.99_80B,124455168,130000000.0,80000000000.0,5.973848064e+19,0.001,128,0.99,1234,152588.0,19531264.0,80000057344.0,204800.0,2.518168,0.0
dense_130M_xm01_lr0.001_gbsz16_beta20.99_12B,124455168,130000000.0,12000000000.0,8.960772096e+18,0.001,16,0.99,1234,183106.0,2929696.0,12000034816.0,204800.0,2.66529,0.0
