model_path,size,data,lr,gbsz,beta2,seed,schedule,tokens_B,iter,benchmark,task,n_shot,metric,score
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,bigbench_repeat_copy_logic_generate_until,10,exact_match,0
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,boolq,10,acc,0.49541
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,commonsense_qa,10,acc,0.19328
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,copa,0,acc,0.59
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,coqa,0,f1,0.046207
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,hellaswag,0,acc_norm,0.27664
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,hellaswag,10,acc_norm,0.27265
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,jeopardy,10,exact_match,0
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,lambada_openai,0,acc,0.18552
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,openbookqa,0,acc_norm,0.252
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,piqa,10,acc_norm,0.58161
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,squadv2,10,f1,1.0997
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,winogrande,0,acc,0.52328
EleutherAI/pythia-70m,,EleutherAI/pythia-70m,,,,,,,,other,wsc273,0,acc,0.48718
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,agieval_lsat_ar,3,acc,0.23043
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,arc_challenge,10,acc_norm,0.33276
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,arc_easy,10,acc_norm,0.66288
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,bigbench_cs_algorithms_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,bigbench_dyck_languages_generate_until,10,exact_match,0.267
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,bigbench_language_identification_multiple_choice,10,acc,0.0869
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,bigbench_operators_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,bigbench_repeat_copy_logic_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,boolq,10,acc,0.44587
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,commonsense_qa,10,acc,0.18264
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,copa,0,acc,0.69
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,coqa,0,f1,0.37821
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,hellaswag,10,acc_norm,0.43597
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,hellaswag,0,acc_norm,0.43129
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,jeopardy,10,exact_match,0.14596
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,lambada_openai,0,acc,0.42791
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,openbookqa,0,acc_norm,0.33
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,piqa,10,acc_norm,0.67954
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,squadv2,10,f1,10.638
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,winogrande,0,acc,0.53354
HuggingFaceTB/SmolLM2-135M,,HuggingFaceTB/SmolLM2-135M,,,,,,,,other,wsc273,0,acc,0.58974
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,arc_challenge,10,acc_norm,0.41553
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,arc_easy,10,acc_norm,0.72306
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,bigbench_cs_algorithms_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,bigbench_dyck_languages_generate_until,10,exact_match,0.318
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,bigbench_language_identification_multiple_choice,10,acc,0.0896
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,bigbench_operators_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,bigbench_repeat_copy_logic_generate_until,10,exact_match,0
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,boolq,10,acc,0.60887
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,commonsense_qa,10,acc,0.21785
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,copa,0,acc,0.78
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,coqa,0,f1,0.5698
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,hellaswag,10,acc_norm,0.57269
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,hellaswag,0,acc_norm,0.56353
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,jeopardy,10,exact_match,0.31365
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,lambada_openai,0,acc,0.53309
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,openbookqa,0,acc_norm,0.378
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,piqa,10,acc_norm,0.73558
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,winogrande,0,acc,0.5809
HuggingFaceTB/SmolLM2-360M,,HuggingFaceTB/SmolLM2-360M,,,,,,,,other,wsc273,0,acc,0.69963
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,arc_challenge,10,acc_norm,0.35154
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,arc_easy,10,acc_norm,0.68519
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,bigbench_cs_algorithms_generate_until,10,exact_match,0
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,bigbench_dyck_languages_generate_until,10,exact_match,0.272
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,bigbench_language_identification_multiple_choice,10,acc,0.0988
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,bigbench_operators_generate_until,10,exact_match,0
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,bigbench_repeat_copy_logic_generate_until,10,exact_match,0
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,boolq,10,acc,0.65321
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,commonsense_qa,10,acc,0.56675
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,copa,0,acc,0.74
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,coqa,0,f1,0.60992
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,hellaswag,0,acc_norm,0.52181
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,hellaswag,10,acc_norm,0.51822
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,jeopardy,10,exact_match,0.18989
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,lambada_openai,0,acc,0.5197
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,openbookqa,0,acc_norm,0.352
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,piqa,10,acc_norm,0.71055
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,winogrande,0,acc,0.56117
Qwen/Qwen2.5-0.5B,0.5B,Qwen/Qwen2.5-0.5B,,,,,,,,other,wsc273,0,acc,0.63736
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,arc_challenge,10,acc_norm,0.45307
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,arc_easy,10,acc_norm,0.74369
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,bigbench_cs_algorithms_generate_until,10,exact_match,0
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,bigbench_dyck_languages_generate_until,10,exact_match,0.273
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,bigbench_language_identification_multiple_choice,10,acc,0.1279
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,bigbench_operators_generate_until,10,exact_match,0
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,bigbench_qa_wikidata_generate_until,10,exact_match,0
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,bigbench_repeat_copy_logic_generate_until,10,exact_match,0
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,boolq,10,acc,0.74618
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,commonsense_qa,10,acc,0.62326
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,copa,0,acc,0.74
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,coqa,0,f1,0.73624
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,hellaswag,10,acc_norm,0.53505
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,hellaswag,0,acc_norm,0.53804
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,jeopardy,10,exact_match,0.25413
Qwen/Qwen3-0.6B-Base,0.6B,Qwen/Qwen3-0.6B-Base,,,,,,,,other,lambada_openai,0,acc,0.53542
