job_name,N,N_approx,D,C,lr,gbsz,beta2,seed,iteration,train_samples,train_tokens,num_of_valid_seq,loss,loss_se
dense_600M_xm01_lr0.0005_gbsz128_beta20.95_30B,588544000,600000000.0,30000000000.0,1.0593792e+20,0.0005,128,0.95,1234,57221.0,7324288.0,30000283648.0,204800.0,2.311182,0.0
dense_600M_xm01_lr0.001_gbsz128_beta20.95_50B,588544000,600000000.0,50000000000.0,1.765632e+20,0.001,128,0.95,1234,95368.0,12207104.0,50000297984.0,204800.0,2.26962,0.0
dense_600M_xm01_lr0.001_gbsz128_beta20.95_80B,588544000,600000000.0,80000000000.0,2.8250112e+20,0.001,128,0.95,1234,152588.0,19531264.0,80000057344.0,204800.0,2.235717,0.0
dense_600M_xm01_lr0.001_gbsz256_beta20.95_120B,588544000,600000000.0,120000000000.0,4.2375168e+20,0.001,256,0.95,1234,114441.0,29296896.0,120000086016.0,204800.0,2.209467,0.0
dense_600M_xm01_lr0.001_gbsz256_beta20.95_200B,588544000,600000000.0,200000000000.0,7.062528e+20,0.001,256,0.95,1234,190735.0,48828160.0,200000143360.0,204800.0,2.179801,0.0
dense_600M_xm01_lr0.001_gbsz256_beta20.95_300B,588544000,600000000.0,300000000000.0,1.0593792e+21,0.001,256,0.95,1234,286103.0,73242368.0,300000739328.0,204800.0,2.159825,0.0
dense_1B_xm01_lr0.0005_gbsz64_beta20.95_6B,983138304,1000000000.0,6000000000.0,3.5392978944e+19,0.0005,64,0.95,1234,22889.0,1464896.0,6000214016.0,204800.0,2.424955,0.0
dense_1B_xm01_lr0.0005_gbsz64_beta20.95_12B,983138304,1000000000.0,12000000000.0,7.0785957888e+19,0.0005,64,0.95,1234,45777.0,2929728.0,12000165888.0,204800.0,2.336284,0.0
dense_1B_xm01_lr0.0005_gbsz128_beta20.95_20B,983138304,1000000000.0,20000000000.0,1.1797659648e+20,0.0005,128,0.95,1234,38147.0,4882816.0,20000014336.0,204800.0,2.281485,0.0
dense_1B_xm01_lr0.0005_gbsz128_beta20.95_30B,983138304,1000000000.0,30000000000.0,1.7696489472e+20,0.0005,128,0.95,1234,57221.0,7324288.0,30000283648.0,204800.0,2.243024,0.0
